		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   27   31   15   29   20   22   20   26  8.764137 0.362582 SUCCESS   0
000000011   19   31   17   26   18   23   23   17  9.727979 0.284640 SUCCESS   1
000000101   21   13   20   29   22   20   25   20  9.608823 0.293561 SUCCESS   2
000000111   22   32   23   27   26   23   27   22  3.783401 0.876118 SUCCESS   3
000001001   24   25   27   25   18   23   30   22  3.714555 0.881916 SUCCESS   4
000001011   19   14   22   31   24   16   17   26 13.328487 0.101036 SUCCESS   5
000001101   28   31   23   16   18   25   24   19  8.458302 0.390028 SUCCESS   6
000001111   25   30   24   23   33   14   23   22  9.476427 0.303711 SUCCESS   7
000010001   27   29   23   22   21   21   32   29  5.834214 0.665796 SUCCESS   8
000010011   30   23   23   23   20   21   32   21  5.824284 0.666907 SUCCESS   9
000010101   26   22   21   27   20   24   31   22  4.044883 0.853051 SUCCESS  10
000010111   23   17   31   25   21   20   20   28  6.941706 0.542935 SUCCESS  11
000011001   24   22   23   31   26   12   18   24 10.542214 0.229011 SUCCESS  12
000011011   26   35   20   18   26   28   17   20 11.221406 0.189467 SUCCESS  13
000011101   30   30   24   29   24   25   22   24  3.835035 0.871692 SUCCESS  14
000011111   26   29   20   19   30   22   26   29  5.638930 0.687604 SUCCESS  15
000100011   29   25   30   16   23   14   21   27 10.669977 0.221109 SUCCESS  16
000100101   17   19   17   22   25   30   29   25  8.373569 0.397855 SUCCESS  17
000100111   20   20   27   26   13   25   25   31  9.416187 0.308412 SUCCESS  18
000101001   20   31   30   22   24   28   17   24  7.121103 0.523625 SUCCESS  19
000101011   20   27   28   24   21   20   33   23  6.189035 0.626066 SUCCESS  20
000101101   24   13   19   29   21   19   22   30 10.940064 0.205118 SUCCESS  21
000101111   21   20   30   22   27   22   27   26  3.807894 0.874027 SUCCESS  22
000110011   19   27   17   34   19   20   20   25 10.635554 0.223216 SUCCESS  23
000110101   37   21   30   21   20   29   27   27 11.325999 0.183903 SUCCESS  24
000110111   21   30   26   20   27   27   25   17  5.654818 0.685834 SUCCESS  25
000111001   23   29   32   22   30   29   27   28  6.734507 0.565530 SUCCESS  26
000111011   31   24   26   28   29   27   31   20  6.361150 0.606847 SUCCESS  27
000111101   27   23   24   25   16   25   30   28  5.274179 0.727910 SUCCESS  28
000111111   30   27   20   30   28   25   27   20  5.436364 0.710080 SUCCESS  29
001000011   23   29   26   26   30   33   18   23  7.478572 0.485984 SUCCESS  30
001000101   25   23   21   21   19   26   27   23  2.789769 0.946850 SUCCESS  31
001000111   30   25   28   24   29   26   24   20  3.733090 0.880366 SUCCESS  32
001001011   24   22   26   19   25   28   25   22  2.417736 0.965457 SUCCESS  33
001001101   25   29   30   24   32   18   26   19  7.774477 0.455804 SUCCESS  34
001001111   23   20   22   38   20   24   26   31 11.765553 0.161975 SUCCESS  35
001010011   22   26   16   24   25   28   22   23  4.238843 0.834957 SUCCESS  36
001010101   22   18   29   31   28   23   26   24  5.469463 0.706421 SUCCESS  37
001010111   25   22   26   21   27   22   26   27  1.782898 0.986959 SUCCESS  38
001011011   18   22   27   17   16   22   23   26  8.007494 0.432738 SUCCESS  39
001011101   25   32   20   18   26   28   21   26  6.273769 0.616595 SUCCESS  40
001011111   25   22   23   27   38   29   26   25  9.487681 0.302839 SUCCESS  41
001100101   23   26   24   22   25   22   25   35  5.478069 0.705469 SUCCESS  42
001100111   20   26   14   34   24   28   26   28 10.629596 0.223583 SUCCESS  43
001101011   37   23   23   26   25   29   33   26 11.157856 0.192914 SUCCESS  44
001101101   28   23   21   20   22   26   27   23  2.663331 0.953679 SUCCESS  45
001101111   25   33   21   15   26   24   26   19  8.840264 0.355950 SUCCESS  46
001110101   22   29   36   27   25   24   18   25  8.901829 0.350645 SUCCESS  47
001110111   33   32   21   27   30   28   27   14 13.105400 0.108274 SUCCESS  48
001111011   22   23   22   22   20   28   29   31  4.926640 0.765387 SUCCESS  49
001111101   27   30   17   18   26   22   33   24  9.163311 0.328707 SUCCESS  50
001111111   29   23   29   27   21   27   25   22  3.198873 0.921264 SUCCESS  51
010000011   26   24   22   18   31   16   25   20  7.763223 0.456934 SUCCESS  52
010000111   18   30   19   23   35   33   18   30 15.341568 0.052834 SUCCESS  53
