test,status,passed,total,p_value,proportion
frequency,fail,9,10,0.739918,0.9
block_frequency,pass,10,10,0.213309,1.0
cumulative_sums,fail,18,20,0.739918,0.9
runs,pass,10,10,0.213309,1.0
longest_run,fail,9,10,0.350485,0.9
rank,pass,10,10,0.911413,1.0
fft,fail,8,10,0.122325,0.8
non_overlapping_template,pass,1468,1480,0.911413,0.9918918918918919
overlapping_template,pass,10,10,0.350485,1.0
approximate_entropy,pass,10,10,0.534146,1.0
random_excursions,skipped,0,0,,
random_excursions_variant,skipped,0,0,,
serial,pass,20,20,0.534146,1.0
linear_complexity,pass,10,10,0.350485,1.0
